10, PINEWOOD ON WILMSLOW, SK93LG, 53.3538413, -2.2160175, false
13, TATTON PARK, WA166QN, 53.3301718, -2.3870527, false
16, RUTHIN CASTLE, LL152NU, 53.1120572, -3.3115242, false
19, POLHAWN FORT, PL101LL, 50.3231487, -4.2190291, false
23, THE ROYAL PAVILION, BN11EE, 50.8219842, -0.1382083, false
28, THE HIGHWAYMAN, NR294BP, 52.7138435, 1.6955966, false
32, LANGLEY CASTLE HOTEL, NE475LU, 54.9570993, -2.2579545, false
37, GOODWOOD HOUSE, PO180PX, 50.8721535, -0.73963, false
42, THE LAWN, SS41PJ, 51.5821844, 0.6689695, false
45, OLIVER'S LODGE HOTEL, PE275JP, 52.32592440000001, -0.0677802, false
48, PUMP ROOM, BA11LZ, 51.3811279, -2.3601055, false
54, THORNTON HALL HOTEL, L631JF, 0.0, 0.0, false
57, CARLYON BAY HOTEL, PL253RD, 50.3359925, -4.7396956, false
60, EASTWELL MANOR, TN254HR, 51.1905034, 0.8838064999999999, false
63, MERCHANT ADVENTURERS' HALL, YO12XD, 53.957433, -1.0843268, true
67, CARLTON TOWERS, DN149LZ, 53.70655009999999, -1.0174093, false
71, THE MILLSTREAM HOTEL, PO188HL, 50.8317145, -0.8568618, false
78, THE WORDSWORTH HOTEL  AND SPA, LA229SW, 54.4579602, -3.0242184, false
82, TOWN HALL, CH11SF, 53.1857836, -2.8912974, false
86, RAVENWOOD HALL HOTEL, IP309JA, 52.2367407, 0.7830749, false
90, BURGH ISLAND HOTEL, TQ74BG, 50.2804767, -3.8983312, false
94, THE FROGMILL, GL544HT, 51.8633026, -1.9620074, false
99, NORTHCOTE MANOR HOTEL, EX379LZ, 50.9496651, -3.9579033, false
102, ROGERTHORPE MANOR HOTEL, WF91AB, 53.6345542, -1.2883874, false
106, DARESBURY PARK HOTEL, WA44BB, 53.3308621, -2.6434053, false
110, MANOR HOUSE HOTEL, GU48SE, 51.23529019999999, -0.5055604, false
113, RUSHPOOL HALL HOTEL, TS121HD, 54.5754369, -0.9703428, false
117, THE GRAPEVINE HOTEL, GL541AU, 51.9289546, -1.7214531, false
